INSTNM,STABBR,MAIN,PREDDEG,CONTROL,CCBASIC,UG12MN,G12MN,PPTUG_EF,COSTT4,C150,CDR2,CDR3,COMP_ORIG_YR4_RT,DEBT_MDN,COMPL_RPY_1YR_RT,PPLUS_PCT_LOW,PPLUS_PCT_HIGH,PLUS_DEBT_INST_MD,PLUS_DEBT_INST_N,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN10YR_SUPP,GRAD_DEBT_MDN,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,RPY_1YR_RT,RPY_3YR_RT_SUPP,LOAN_YR4_RT,NPT4,WDRAW_ORIG_YR2_RT,RET_FT4,COUNT_NWNE_P6,COUNT_WNE_P6,LOAN_YR4_N,NOLOAN_YR4_N,PELL_YR4_N,NOPELL_YR4_N,SD_EARN_WNE_P10,MN_EARN_WNE_P10,GT_28K_P6,NUM4
Southern Maine Community College,ME,1,2,1,5,8847,0,0.5282,15798,0.2109,0.153,0.126,0.218082464,6250,0.653279786,0,5,6686,136,0.3717,0.2798,119.3505451,11500,27300,6200,18000,40200,52500,0.443241743,0.479634465,0.7138599,10521,0.506616257,0.5409,247,2005,1437,576,1550,463,23700,36500,0.482,556
University of Southern Maine,ME,1,3,1,18,7874,2339,0.2426,19385,0.3946,0.05,0.061,0.424648359,13750,0.712795549,0,5,10267,395,0.366,0.4786,212.7553195,20500,33000,9500,20800,46500,60800,0.576999715,0.650360866,0.8854655,12180,0.256284916,0.699,184,2408,1322,171,954,539,32800,44400,0.603,533
Thomas College,ME,1,3,2,20,1789,225,0.0346,37754,0.4878,0.083,0.126,0.620071685,19726,0.603921569,10,15,12735,171,0.2219,0.4354,259.603003,25014,30600,8200,21000,41100,52500,0.545833333,0.646825397,0,21411,0.204697987,0.6532,29,391,,,187,92,31900,43400,0.565,209
Unity College,ME,1,3,2,22,744,69,0.0259,40199,0.6555,0.026,0.059,0.56043956,18750,0.764102564,15,25,25662,146,0.3954,0.8108,280.2143233,27000,26100,6400,17100,35300,47700,0.664739884,0.681948424,0,26463,0.200892857,0.7126,,,,,103,79,22900,37400,0.447,155
Washington County Community College,ME,1,1,1,7,476,0,0.2374,12585,0.4348,0.25,0.252,0.314814815,5500,0.487179487,0,5,,,0.5753,0.2231,,5200,22600,4100,13200,34400,47600,0.400826446,0.414634146,0.5308642,6648,0.73381295,0.6204,25,231,86,76,147,15,21300,31600,0.385,97
Allegany College of Maryland,MD,1,2,1,7,3236,0,0.4064,15518,0.2198,0.134,0.163,0.310699588,9500,0.569744597,0,5,9792,99,0.4148,0.3728,158.2692011,15250,24300,4200,14200,39000,52500,0.398541114,0.448863636,0.7705761,10164,0.438026474,0.5633,205,1289,749,223,779,193,22700,33200,0.418,216
Anne Arundel Community College,MD,1,2,1,1,18734,0,0.6626,18594,0.2146,0.113,0.103,0.176980686,6234,0.595092025,0,5,,,0.2142,0.0941,103.7830827,10000,29700,6100,16100,46500,63700,0.345264938,0.403805497,0.4351596,15268,0.43780554,0.6912,410,2518,1104,1433,2043,494,31600,42200,0.534,451
Award Beauty School,MD,1,1,3,-2,258,0,0.4308,19522,0.7476,0.047,0.031,0.487704918,6587,0.224137931,0,5,,15,0.6744,0.7442,116.486132,11224,14500,1700,7100,23600,33000,0.143250689,0.18230563,0.8278689,16623,0.328431373,0.5161,123,340,202,42,231,13,16300,19800,0.171,112
Baltimore Studio of Hair Design,MD,1,1,3,-2,51,0,0.3143,19118,0.7143,0.148,0.174,0.327868852,5548,,0,5,,,0.9608,1,75.76165036,7300,15300,2900,9600,26200,33400,,0.083333333,0,15618,0.563636364,0.7143,33,153,,,,,15800,21300,0.216,12
Baltimore City Community College,MD,1,2,1,4,5813,0,0.6272,10367,0.104,0.2,,0.084900864,,,,,,,0.4444,0,,,22100,4600,11400,33600,48500,,,0,5210,0.550207469,0.4478,487,2179,,,,,23500,32500,0.364,244
University of Baltimore,MD,1,3,1,18,3580,3086,0.4087,25674,0.3674,0.059,0.071,0.367697595,17250,0.511988717,0,5,12000,59,0.1041,0.5032,223.1336278,21500,41300,14600,24300,59400,87700,0.367647059,0.431222707,0.8029782,21373,0.234096692,0.7664,123,1040,701,172,639,234,41600,63400,0.704,77
Bowie State University,MD,1,3,1,18,5839,1159,0.1507,21623,0.4214,0.128,0.141,0.248587571,12000,0.391752577,10,15,14405,895,0.5416,0.6379,236.1065131,22750,32100,8500,19600,45400,66400,0.240331492,0.306122449,0.8983051,16510,0.284653465,0.6809,109,1411,1113,126,910,329,30400,48700,0.577,814
Capitol Technology University,MD,1,3,2,28,493,461,0.1218,36371,0.4769,0.083,0.081,0.425287356,15125,0.769230769,10,15,22456,51,0.406,0.522,230.2739039,22188,47900,15600,,,94000,0.606451613,0.678787879,0,22000,0.243478261,0.7167,,,,,56,31,43800,68100,0.706,59
Cecil College,MD,1,2,1,1,3067,0,0.6191,11627,0.1923,0.156,0.171,0.14084507,7500,0.595238095,0,5,,,0.3023,0.1669,106.3776598,10250,27100,3800,14500,40500,59000,0.398210291,0.420502092,0.4119718,8919,0.519195612,0.5611,99,528,234,334,472,96,28000,36700,0.485,105
College of Southern Maryland,MD,1,2,1,1,10265,0,0.6156,11774,0.288,0.081,0.118,0.157701711,5500,0.563380282,0,5,6026,32,0.2125,0.0944,103.4821117,9971,27800,4800,14600,42900,61500,0.388408305,0.418874172,0.3502445,7621,0.529274005,0.6543,219,1467,573,1063,1343,293,28800,40600,0.497,385
Chesapeake College,MD,1,2,1,4,2839,0,0.649,9690,0.2491,0,,0.134502924,,,,,,,0.3499,0,,,24300,4100,14400,36500,51200,,,0,4402,0.563670412,0.624,83,546,,,,,21600,31200,0.414,111
Washington Adventist University,MD,1,3,2,20,1537,246,0.1053,32746,0.3664,0.093,0.092,0.103092784,23375,0.376021798,5,15,16800,175,0.4593,0.5808,282.3730114,27208,36500,7400,19100,60700,76200,0.329561528,0.439688716,0,16729,0.316176471,0.7864,79,371,,,155,39,33200,46300,0.625,82
Coppin State University,MD,1,3,1,20,2879,478,0.2412,17464,0.2424,0.194,0.158,0.321003963,15540,0.380952381,0,10,12356,153,0.6015,0.6274,249.8681499,24076,28500,8300,16600,41700,61100,0.197935641,0.26106958,0.8520476,10422,0.277860327,0.6319,101,1079,645,112,624,133,26900,41800,0.511,262
Delmarva Beauty Academy,MD,1,1,3,-2,81,0,0,27094,0.8462,0.093,0.142,0.743589744,9833,,0,5,,,0.6667,0.5679,142.7017387,13750,15400,,,,,0.202020202,0.203883495,0,22097,,0.8333,,,,,,,15500,22600,0.121,11
North American Trade Schools,MD,1,1,3,-2,574,0,0,20781,0.8151,0.206,0.209,0.692058347,5410,0.235294118,5,10,4032,70,0.9286,0.9582,72.64815788,7000,24800,2800,11500,42400,60900,0.244208494,0.269749518,0.9027553,16286,0.28540305,0.8797,297,954,557,60,410,207,27000,37700,0.436,82
Frederick Community College,MD,1,2,1,2,8896,0,0.6058,11255,0.2911,0.087,0.124,0.275559883,5500,0.59375,0,5,,,0.1876,0.0931,84.32375468,8125,27700,6300,15500,43000,61800,0.444272446,0.480406386,0.4157741,6973,0.428270042,0.7474,128,735,427,600,807,220,30800,42100,0.494,278
Frostburg State University,MD,1,3,1,18,5262,860,0.1565,21642,0.5178,0.092,0.087,0.531897266,15750,0.623420388,5,15,15046,615,0.3742,0.5558,241.2956673,23250,31600,8800,20000,45000,55700,0.526993561,0.578581363,0.8831814,14656,0.14057508,0.7687,84,1523,1066,141,716,491,27700,47200,0.585,535
Garrett College,MD,1,2,1,2,835,0,0.2057,12941,0.2783,0.139,0.162,0.202090592,5500,0.472727273,5,10,8687,65,0.4636,0.5527,121.3950718,11697,23500,5600,14300,33500,48400,0.31981982,0.333333333,0.6829268,8267,0.404,0.4977,59,351,196,91,248,39,21100,31600,0.359,137
Goucher College,MD,1,3,2,21,1592,1159,0.0729,58936,0.709,0.037,0.041,0.636655949,17664,0.794212219,10,15,24176,204,0.2648,0.5413,261.554125,25202,28300,7800,16400,43500,53500,0.694779117,0.732209738,0.9196141,25537,0.131868132,0.769,30,344,286,25,153,158,48100,55100,0.509,290
Purdue University Global-Hagerstown,MD,0,3,1,22,678,130,0.7946,0,0,0.153,0.116,0.213630406,11875,0.311644466,0,5,9319,754,0.6391,0.5605,280.878535,27064,24600,4700,12400,39100,66700,0.189450534,0.255960094,0.8502001,0,0.415918112,0,15147,50516,24002,4229,25333,2898,33500,40100,0.432,0
Hagerstown Community College,MD,1,2,1,5,5761,0,0.7118,11290,0.3232,0.081,0.153,0.205882353,5500,0.52345679,0,5,3500,28,0.3541,0.2654,108.3184034,10437,26900,6200,15100,41700,57700,0.370481928,0.412045889,0.6330882,7173,0.464177598,0.6717,197,1181,861,499,1105,255,24500,37000,0.481,213
