INSTNM,STABBR,MAIN,PREDDEG,CONTROL,CCBASIC,UG12MN,G12MN,PPTUG_EF,COSTT4,C150,CDR2,CDR3,COMP_ORIG_YR4_RT,DEBT_MDN,COMPL_RPY_1YR_RT,PPLUS_PCT_LOW,PPLUS_PCT_HIGH,PLUS_DEBT_INST_MD,PLUS_DEBT_INST_N,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN10YR_SUPP,GRAD_DEBT_MDN,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,RPY_1YR_RT,RPY_3YR_RT_SUPP,LOAN_YR4_RT,NPT4,WDRAW_ORIG_YR2_RT,RET_FT4,COUNT_NWNE_P6,COUNT_WNE_P6,LOAN_YR4_N,NOLOAN_YR4_N,PELL_YR4_N,NOPELL_YR4_N,SD_EARN_WNE_P10,MN_EARN_WNE_P10,GT_28K_P6,NUM4
Alabama A & M University,AL,1,3,1,18,5343,1165,0.0587,22489,0.2685,0.114,0.182,0.228710462,15500,0.336676218,20,25,14838,1318,0.7067,0.7503,346.3760385,33375,25200,4500,15000,36800,51400,0.173469388,0.253155427,0.9367397,14444,0.317295189,0.6087,94,1304,1155,78,1104,129,25400,35500,0.431,592
University of Alabama at Birmingham,AL,1,3,1,15,14445,10498,0.2425,24347,0.5829,0.06,0.057,0.464440079,15000,0.574557316,5,10,16145,1090,0.3632,0.5127,233.511936,22500,35100,9700,21000,50800,66200,0.451034777,0.513963161,0.897053,17005,0.203421346,0.8186,241,2727,2283,262,1669,876,39200,48400,0.631,1229
Amridge University,AL,1,3,2,20,440,527,0.5014,17680,0.4,0.071,0.11,0.060606061,10500,0.333333333,0,5,,,0.7673,0.8962,283.6806782,27334,30700,7300,15200,47200,75400,0.16017316,0.230769231,0,15322,0.578125,0,38,155,,,153,12,38600,47600,0.542,5
University of Alabama in Huntsville,AL,1,3,1,16,8145,2443,0.1443,23441,0.5187,0.077,0.059,0.434115523,14476,0.640888889,0,10,13524,386,0.2698,0.4192,224.2441068,21607,36200,9100,22700,56900,70300,0.50200267,0.54850903,0.9052347,20909,0.199227799,0.8288,144,1378,1003,105,708,400,33600,52000,0.649,585
Alabama State University,AL,1,3,1,19,4732,642,0.0666,21476,0.3001,0.132,0.203,0.259784458,18679,0.244680851,20,25,15351,1362,0.7448,0.7845,332.1058646,32000,22600,4300,13700,32100,39800,0.136110296,0.218586747,0.8899603,13043,0.301358913,0.5868,157,1754,1569,194,1591,172,21400,30600,0.351,523
The University of Alabama,AL,1,3,1,15,36237,6331,0.0836,29424,0.7188,0.066,0.051,0.569417786,17500,0.657238365,5,15,41756,3068,0.1802,0.3863,241.2956673,23250,37400,9800,23600,51500,61600,0.546711353,0.601944299,0.9213052,22232,0.116378473,0.8788,345,4836,4320,369,2421,2268,42500,51600,0.679,1267
Central Alabama Community College,AL,1,1,1,2,2417,0,0.3922,8824,0.2832,0.204,0.196,0.122270742,7678,0.27027027,0,5,,,0.4381,0.2104,129.7288534,12500,23100,4800,12900,35600,47500,0.189640769,0.251005632,0.5604076,3254,0.546468401,0.5473,234,1028,385,302,617,70,23300,32400,0.395,228
Athens State University,AL,1,3,1,22,3947,165,0.5593,0,0,0.067,0.075,0.538172716,13750,0.52690583,0,5,8098,56,0.4223,0.5079,202.3770112,19500,33400,9900,20100,45100,61200,0.431859479,0.503816794,0.8185232,0,0.188423645,0,140,1245,654,145,592,207,27500,42400,0.612,0
Auburn University at Montgomery,AL,1,3,1,18,5246,787,0.2168,18291,0.338,0.09,0.104,0.247346939,12250,0.58493353,0,10,7998,379,0.4584,0.5539,257.6518811,24826,30100,8800,18000,42900,55900,0.382237701,0.44188862,0.9036735,12680,0.250673854,0.6699,137,1354,1107,118,916,309,26300,38000,0.546,415
Auburn University,AL,1,3,1,15,25195,6650,0.0791,31282,0.7812,0.045,0.036,0.655671762,17014,0.769965278,5,10,38301,1571,0.1537,0.3169,220.8607783,21281,39500,11800,26200,55200,67000,0.683124241,0.723961298,0.9191472,23696,0.085333333,0.8999,220,3808,2285,201,1213,1273,42400,56300,0.726,1140
Birmingham-Southern College,AL,1,3,2,21,1316,0,0.004,52176,0.68,0.085,0.048,0.625550661,18500,0.767955801,10,20,30879,190,0.2214,0.4567,267.480139,25773,33400,6300,19500,48900,58300,0.702576112,0.755991285,0.9559471,25494,0.055555556,0.7994,,,217,10,102,125,37900,53100,0.618,213
Chattahoochee Valley Community College,AL,1,2,1,1,2020,0,0.4066,8750,0.2039,0.096,0.15,0.122596154,6543,0.38961039,0,5,,,0.5463,0.2156,123.823596,11931,22300,4900,12800,34000,46400,0.257075472,0.28125,0.4326923,1578,0.453396524,0.5435,124,742,360,472,777,55,20800,31300,0.35,194
South University-Montgomery,AL,0,3,3,20,561,125,0.2399,29309,0.0909,0.174,0.116,0.166159696,13786,0.386992275,0,5,9399,627,0.645,0.6585,261.1805059,25166,26900,7600,14100,43500,74600,0.192723315,0.254758584,0.6722433,22660,0.376405255,0.3333,2704,11327,7072,3448,9160,1360,31500,40200,0.478,8
Enterprise State Community College,AL,1,2,1,5,2461,0,0.3136,9262,0.1884,0.177,0.179,0.122116689,6446,,0,5,,,0.4207,0.1519,84.66623886,8158,27000,5200,14400,44600,67000,0.363636364,0.426041667,0.4016282,4100,0.571691176,0.5458,198,1092,296,441,662,75,38000,42700,0.484,211
Coastal Alabama Community College,AL,1,2,1,5,8415,0,0.379,12008,0.1468,0.119,0.177,0.171037628,5500,0.523297491,0,5,5012,149,0.3696,0.2235,114.161391,11000,23800,4400,13000,35500,50200,0.304700855,0.348990523,0.4215127,6141,0.47721705,0.564,274,1641,1109,1522,2326,305,26200,33900,0.41,863
Faulkner University,AL,1,3,2,19,3250,886,0.2386,33944,0.2794,0.077,0.125,0.289906103,14925,0.350850077,5,10,11000,281,0.4888,0.5988,252.8467244,24363,29700,8200,18100,44500,63600,0.243712849,0.308162375,0.935446,25557,0.271990741,0.5434,152,1437,797,55,688,164,29500,40700,0.532,261
Gadsden State Community College,AL,1,2,1,7,6790,0,0.4497,10098,0.2133,0.142,,0.169315068,,,,,,,0.4943,0,,,21200,3900,11700,33300,46200,,,0,4362,0.601164483,0.545,495,2237,,,,,21500,30200,0.349,578
New Beginning College of Cosmetology,AL,1,1,3,-2,137,0,0,14301,0.925,,0.065,0.681818182,5500,,0,5,,,0.7372,0.5401,72.64815788,7000,,,,,,0.411214953,0.420560748,0.8181818,9885,,0.9677,,,54,12,,,,,,42
George C Wallace Community College-Dothan,AL,1,2,1,7,6237,0,0.5262,9564,0.2483,0,,0.246753247,,,,,,,0.4934,0,,,21400,5300,13000,33400,46300,,,0,1277,0.531083481,0.5844,290,1355,,,,,25700,29800,0.339,441
George C Wallace State Community College-Hanceville,AL,1,2,1,7,7300,0,0.4568,10252,0.4411,0.165,0.142,0.254813137,8250,0.607013301,0,5,7183,23,0.4844,0.3007,114.161391,11000,26900,4800,14600,40000,52000,0.39114514,0.439739414,0.6443941,5531,0.463057325,0.6281,409,2296,1138,628,1480,286,23900,34800,0.476,700
George C Wallace State Community College-Selma,AL,1,2,1,5,2486,0,0.3786,13788,0.2786,0,,0.220994475,,,,,,,0.6689,0,,,19500,4300,10300,31500,46000,,,0,7114,0.388235294,0.6278,193,912,,,,,19800,27300,0.305,238
Herzing University-Birmingham,AL,0,1,2,23,1019,26,0.5184,26128,0.5,0.117,0.127,0.339940266,12233,0.390226112,0,5,7400,329,0.637,0.7593,235.898947,22730,27900,7200,15300,41000,58300,0.249672892,0.304110543,0.9177301,17906,0.35219808,0.5,489,2348,3380,303,3197,486,27900,41600,0.497,10
Huntingdon College,AL,1,3,2,22,1249,0,0.1827,35685,0.4291,0.078,0.098,0.553475936,16250,0.566787004,15,20,14661,221,0.441,0.7096,273.97696,26399,32600,12200,19000,45300,54500,0.458823529,0.514603616,0.9251337,20136,0.171686747,0.6701,36,468,346,28,240,134,30300,43600,0.573,239
Heritage Christian University,AL,1,3,2,24,66,39,0.4694,0,0.5,0.133,0.181,,,,0,5,,,0.5517,0.0345,,,,,,,,0.44,,0,0,,1,,,,,,,,,,0
J. F. Drake State Community and Technical College,AL,1,1,1,7,1088,0,0.5413,11123,0.1382,0,,0.08318264,,,,,,,0.613,0,,,19100,4900,9100,30300,42100,,,0,4825,0.633333333,0.3444,120,531,,,,,20100,27600,0.296,79
J F Ingram State Technical College,AL,1,1,1,-2,833,0,0.2122,5580,0.5,,,,,,,,,,0.2205,0,,,,,,,,,,,3345,,0.7178,,,,,,,,,,41
Jacksonville State University,AL,1,3,1,18,8735,1444,0.1623,20050,0.4247,0.077,0.098,0.388616891,15066,0.529972752,0,10,9872,541,0.3882,0.6428,238.7010902,23000,28700,7000,17300,40700,53800,0.361822594,0.421039226,0.8922889,16962,0.22089155,0.7543,231,2478,1458,176,1171,463,25500,38100,0.515,755
Jefferson State Community College,AL,1,2,1,8,13608,0,0.62,13284,0.0969,0.116,0.138,0.158010563,5500,0.603290676,0,5,,,0.2922,0.1826,103.7830827,10000,26900,5100,15000,39600,49400,0.406644998,0.448585231,0.4828345,8924,0.511374876,0.5738,340,1977,1097,1175,1910,362,24100,33800,0.48,625
John C Calhoun State Community College,AL,1,2,1,2,15261,0,0.6111,9848,0.229,0.186,0.168,0.117086453,5750,0.559859155,0,5,4137,44,0.323,0.2141,116.755968,11250,24000,4800,13800,36400,51600,0.332354512,0.38055344,0.6341048,5361,0.537238874,0.6278,479,2930,1863,1075,2458,480,24000,32200,0.415,609
Judson College,AL,1,3,2,21,397,0,0.1622,31735,0.3467,0.067,0.177,0.225806452,14112,,10,15,14300,71,0.5302,0.6794,269.836015,26000,22200,3100,13600,35000,38500,0.405263158,0.47029703,0,16619,0.493902439,0.6154,,,,,71,22,22400,29300,0.402,58
Lawson State Community College,AL,1,1,1,4,4736,0,0.4458,13735,0.1677,0,,0.124188312,,,,,,,0.6804,0,,,20000,4600,11300,30800,42600,,,0,7299,0.549959383,0.5105,380,1792,,,,,20200,26600,0.309,582
University of West Alabama,AL,1,3,1,18,2516,4218,0.1468,20692,0.3123,0.064,0.078,0.193650794,13000,0.461971831,15,20,13807,523,0.549,0.693,272.9391292,26299,26400,8200,15200,41500,58500,0.315612382,0.366729679,0.9222222,13975,0.300168634,0.6239,93,845,581,49,500,130,26800,40400,0.473,383
Lurleen B Wallace Community College,AL,1,1,1,5,2392,0,0.3062,14136,0.3423,0,,0.297945205,,,,,,,0.5052,0,,,22600,4300,13200,33200,46600,,,0,7800,0.448833034,0.5687,172,780,,,,,24400,32000,0.36,279
Marion Military Institute,AL,1,2,1,1,459,0,0.0026,18568,0.3333,0.138,0.093,0.330049261,5500,0.54945055,5,15,5350,71,0.4193,0.4843,121.9451222,11750,33100,6000,17200,45000,54700,0.520833333,0.592465753,0.8275862,11666,0.297752809,0.4484,,,168,35,124,79,27500,49800,0.597,89
Miles College,AL,1,3,2,22,2089,0,0.0505,22828,0.2421,0.219,0.111,0.123893805,15814,0.203389831,15,25,9631,524,0.8636,0.9255,315.9572169,30444,20900,3700,11900,31700,41300,0.103148024,0.149776928,0.9228824,15248,0.419618529,0.544,111,988,730,61,748,43,20100,29500,0.33,298
University of Mobile,AL,1,3,2,22,1652,197,0.1113,35463,0.5044,0.024,0.096,0.411267606,19740,0.49742268,10,15,16324,194,0.431,0.6473,280.2143233,27000,29300,6800,16900,44500,60600,0.373913044,0.443872297,0.9323944,14611,0.246606335,0.7566,46,493,331,24,238,117,25700,38700,0.519,170
University of Montevallo,AL,1,3,1,19,2529,442,0.084,24411,0.4917,0.071,0.073,0.517241379,15750,0.551587302,5,15,15224,302,0.3986,0.5708,243.8902443,23500,27500,8000,15600,37400,45100,0.459259259,0.517333333,0.8883415,16391,0.231578947,0.7593,87,723,541,68,404,205,23300,36100,0.485,268
Northwest-Shoals Community College,AL,1,1,1,5,4741,0,0.4764,12255,0.2657,0.188,0.23,0.061239731,5984,0.46460177,0,5,,,0.4145,0.1971,101.1885056,9750,23300,3900,13000,35300,48000,0.328655835,0.361131255,0.4286781,6999,0.623115578,0.5864,302,1564,574,765,1206,133,23600,30800,0.389,469
University of North Alabama,AL,1,3,1,18,7077,1572,0.1266,18712,0.4571,0.101,0.116,0.376386688,14722,0.633437176,5,10,12090,497,0.3983,0.5765,238.7010902,23000,28600,6900,18100,40600,54700,0.460884354,0.516271595,0.8732171,12557,0.232117812,0.7534,165,1542,1102,160,912,350,33500,42800,0.516,844
Northeast Alabama Community College,AL,1,2,1,5,3767,0,0.4279,8840,0.4465,0.171,0.121,0.216704289,3850,0.561181435,0,5,,,0.4682,0.0749,49.97155431,4815,23600,4100,13100,36300,48800,0.432360743,0.463010204,0.2460497,3273,0.514935989,0.6371,287,1356,218,668,835,51,23000,31700,0.408,381
Oakwood University,AL,1,3,2,22,1778,76,0.0765,36361,0.4755,0.077,0.104,0.364253394,19500,0.35443038,15,20,20000,401,0.5024,0.6965,318.3649845,30676,21800,4900,11700,35300,52100,0.237341772,0.283730159,0.9547511,26293,0.129113924,0.7131,57,501,422,20,318,124,33800,37400,0.381,262
Reid State Technical College,AL,1,1,1,8,565,0,0.4368,8958,0.4516,0,,0.347593583,,,,,,,0.5204,0,,,21200,6000,12000,34200,46100,,,0,2825,0.37628866,0.4909,92,414,,,,,20900,26800,0.353,39
Bishop State Community College,AL,1,1,1,8,4748,0,0.4168,10155,0.2166,0,,0.136861314,,,,,,,0.5435,0,,,19100,3900,12100,31300,44500,,,0,4262,0.523316062,0.4606,205,1049,,,,,21600,28300,0.301,499
Samford University,AL,1,3,2,17,3511,2483,0.0204,46474,0.7636,0.013,0.029,0.679039301,17096,0.79,5,15,37083,344,0.1227,0.3323,207.5661654,20000,37500,9700,25100,52300,73500,0.713032582,0.776754891,0.8908297,29207,0.042505593,0.9032,40,616,408,50,163,295,47300,59800,0.696,387
Selma University,AL,1,3,2,24,348,18,0.2533,15822,0.0222,0.069,0.342,,9500,,0,5,5330,39,0.9646,0.9325,,34300,,,,,,0.072864322,0.117936118,0.9622642,13037,0.476190476,0.3261,,,255,10,,,,,,43
Shelton State Community College,AL,1,2,1,7,7253,0,0.492,12070,0.2237,0,,0.133514986,,,,,,,0.4658,0,,,22700,4600,12800,35400,45700,,,0,6361,0.527472527,0.5774,283,1748,,,,,31000,31100,0.377,451
Snead State Community College,AL,1,2,1,2,3611,0,0.3467,11073,0.3701,0,0.205,0.282872928,5673,0.574074074,0,5,,14,0.486,0.2176,83.02646615,8000,22400,4100,12400,34900,45900,0.311363636,0.353070175,0.4596685,4698,0.457446809,0.6234,147,805,416,489,814,91,21700,30700,0.378,359
University of South Alabama,AL,1,3,1,16,12062,5470,0.1413,19835,0.4417,0.048,0.084,0.383195177,16497,0.581116328,15,20,16670,2030,0.3922,0.5538,259.4577067,25000,31500,6800,18300,46400,64100,0.423534235,0.469591994,0.9107008,14871,0.208807897,0.7441,372,3199,2417,237,1855,799,45500,46800,0.562,1209
Spring Hill College,AL,1,3,2,21,1495,157,0.0088,51969,0.5864,0.055,0.059,,18270,0.739130435,15,20,22316,256,0.342,0.7923,280.2143233,27000,33600,7700,19200,46800,62100,0.53427065,0.607201309,0.9624665,19718,0.108882521,0.7215,31,388,359,14,216,157,39500,51300,0.606,362
Stillman College,AL,1,3,2,21,854,0,0.0493,21314,0.2876,0.149,0.231,0.186666667,14640,0.229357798,15,25,8000,167,0.8316,0.9232,337.2950187,32500,22800,5000,14200,32400,43400,0.159830269,0.252659575,0.95,13857,0.305732484,0.678,55,527,285,15,268,32,58200,33700,0.362,110
Talladega College,AL,1,3,2,21,1018,0,0.0993,22514,0.2353,0.212,0.235,0.275510204,16000,,10,15,8964,154,0.8951,0.8261,332.0020815,31990,20300,1300,10700,31000,35600,0.129129129,0.178918169,0.877551,16386,0.078431373,0.7006,39,283,258,36,275,19,16600,23900,0.314,157
H Councill Trenholm State Community College,AL,1,1,1,7,2572,0,0.4639,12383,0.2782,0,,0.07635468,,,,,,,0.5122,0,,,21800,4900,13100,32100,44900,,,0,6881,0.587398374,0.5329,158,734,,,,,20500,28000,0.343,215
Troy University,AL,1,3,1,18,16868,4941,0.3058,19180,0.4279,0.093,0.098,0.225207756,15172,0.484821024,0,10,12055,938,0.4015,0.6253,259.769056,25030,30400,8300,18100,44100,60300,0.273071244,0.34985319,0.8836565,13313,0.319561815,0.7278,819,6056,3190,420,2786,824,33300,41100,0.549,1446
Tuskegee University,AL,1,3,2,19,2834,513,0.0265,39383,0.4242,0.091,0.135,0.410526316,19500,0.539906103,30,35,29573,780,0.5256,0.4744,301.9049875,29090,28500,6000,16300,46400,65900,0.379228954,0.496017379,0.9383459,35353,0.16481775,0.7041,56,823,624,41,526,139,30400,42200,0.512,604
United States Sports Academy,AL,1,3,2,32,213,353,0.6767,0,0,0.038,0.061,,13078,0.380952381,0,5,,,0.534,0.534,,24662,33600,,,,,0.349593496,0.443609023,0.7959184,0,0.351351351,0,,,39,10,,,,,0.625,0
Bevill State Community College,AL,1,1,1,8,5537,0,0.4881,13681,0.2174,0,,0.205882353,,,,,,,0.4372,0,,,23300,5000,13000,37100,50900,,,0,7617,0.549076774,0.6115,428,1812,,,,,22400,31300,0.402,382
University of Alaska Anchorage,AK,1,3,1,18,22973,1171,0.4424,19942,0.2965,0.082,0.105,0.187264506,11000,0.746279762,0,5,11256,347,0.2255,0.2243,212.7553195,20500,36000,6600,20700,55300,77600,0.499179319,0.547739673,0.668425,13819,0.444151275,0.6691,456,2632,1774,880,1960,694,38000,51200,0.649,588
Alaska Bible College,AK,1,3,2,24,44,0,0.1351,24759,0.375,0,0.1,,,,0,5,,,0.6129,0.3871,,,,,,,,,,0,20066,,1,,,,,,,,,,2
University of Alaska Fairbanks,AK,1,3,1,16,11417,1321,0.4189,18510,0.3154,0.089,0.107,0.232142857,10851,0.679417122,0,5,11157,164,0.2202,0.2277,202.3770112,19500,30700,5300,14600,48300,67300,0.50815739,0.547265987,0.7006803,11297,0.421103582,0.7339,206,1138,824,352,870,306,44100,45100,0.55,254
University of Alaska Southeast,AK,1,1,1,19,3622,443,0.5238,16853,0.3557,0.093,0.098,0.247557003,10500,0.680412371,0,5,13358,67,0.1767,0.1922,232.8684809,22438,31500,4100,16600,49700,60600,0.542810986,0.576864536,0.6938111,10258,0.416356877,0.7429,77,351,213,94,229,78,27700,39500,0.575,65
Alaska Pacific University,AK,1,3,2,20,340,252,0.2898,34990,0.5556,0.047,0.05,0.484848485,14307,0.632653061,0,10,,15,0.3492,0.4881,224.9705883,21677,33200,8200,21300,49600,68900,0.531100479,0.570135747,0,20717,0.253012048,0.8125,,,,,36,30,31100,45300,0.601,25
Alaska Vocational Technical Center,AK,1,1,1,-2,1895,0,0.8421,13924,0.9085,0.085,0.072,0.891891892,5500,0.641975309,0,5,,,0.0433,0.0185,,,37400,2500,15200,61500,72900,0.608333333,0.686440678,0.4234234,10018,,0.9441,,,47,64,93,18,38800,45600,0.601,11
Charter College,WA,1,1,3,23,4415,7,0,35613,0.501,0.108,0.131,0.502538071,12740,0.323761666,0,5,12497,30,0.6195,0.7222,147.0710065,14171,27700,5200,13100,40800,67400,0.252795949,0.304767906,0.8749094,29362,0.375973304,0.5,277,1041,2413,345,2426,332,33400,46400,0.494,951
Alaska Career College,AK,1,1,3,13,586,0,0,21369,0.7285,0.135,0.186,0.731578947,7848,0.51635514,0,5,,18,0.7406,0.8208,94.19352585,9076,25300,4600,10400,38700,48600,0.461409396,0.445723684,0.8,17665,0.228840125,0.7216,134,468,304,76,310,70,21100,32000,0.459,143
Empire Beauty School-Tucson,AZ,0,1,3,-2,178,0,0.2353,19366,0.3784,0.09,0.12,0.548387097,8028,0.29072165,5,15,5382,316,0.573,0.5225,128.7948056,12410,16200,2900,8900,29000,37500,0.237942122,0.287991498,0.8817204,14765,0.316885965,0.6923,103,387,1148,154,1145,157,22400,24500,0.274,53
Carrington College-Phoenix North,AZ,1,1,3,10,963,0,0.1558,24471,0.7649,0.154,0.181,0.714285714,9102,0.343937575,0,5,6506,332,0.2056,0.1973,97.54571942,9399,25200,4100,13900,36500,44300,0.294832827,0.329336188,0.9001579,20634,0.221559438,0.6803,976,5027,2281,253,2287,247,21000,27200,0.435,67
Carrington College-Mesa,AZ,0,1,3,10,883,0,0.1848,25115,0.8704,0.154,0.181,0.714285714,9102,0.343937575,0,5,6506,332,0.2503,0.282,97.54571942,9399,25200,4100,13900,36500,44300,0.294832827,0.329336188,0.9001579,21109,0.221559438,0.6143,976,5027,2281,253,2287,247,21000,27200,0.435,46
Carrington College-Tucson,AZ,0,1,3,-2,497,0,0.185,22025,0.8411,0.154,0.181,0.714285714,9102,0.343937575,0,5,6506,332,0.1891,0.1771,97.54571942,9399,25200,4100,13900,36500,44300,0.294832827,0.329336188,0.9001579,19053,0.221559438,0.5789,976,5027,2281,253,2287,247,21000,27200,0.435,12
CollegeAmerica-Flagstaff,AZ,1,2,2,26,117,0,0,32164,0.297,0.238,0.185,0.410881801,15974,0.102902375,0,5,,17,0.8205,0.8205,255.5658411,24625,19500,2600,9700,30200,37900,0.077812829,0.11691023,0.9362101,26908,0.441056911,0,108,403,499,34,507,26,23200,26400,0.293,17
Arizona Academy of Beauty-East,AZ,1,1,3,-2,97,0,0,18306,0.4,0.122,0.057,0.615384615,4405,,0,5,,,0.7835,0.5773,49.12053304,4733,,,,,,0.264705882,0.253521127,0,13239,,0,,,,,,,16900,18800,,3
Platt College-Arizona Automotive Institute Arizona,AZ,0,1,3,-2,1192,0,0,34346,0.5168,0.306,0.255,0.456112853,9500,0.175062972,0,5,4514,1270,0.6401,0.5948,134.9180075,13000,22400,4700,10400,34700,52000,0.142172524,0.341377577,0.9566726,30642,0.410179641,0.5537,367,1121,8545,387,3475,5457,30200,37800,0.384,393
Brookline College-Phoenix,AZ,1,1,3,26,1325,99,0.4285,34841,0.4675,0.13,0.206,0.529010239,9497,0.20387931,5,10,4946,227,0.6924,0.6965,98.59392855,9500,18300,2400,8900,29500,38200,0.163502911,0.20920398,0.9192264,28341,0.289936664,0.2432,564,2113,1616,142,1597,161,17200,23700,0.281,71
Arizona State University-Tempe,AZ,1,3,1,15,45657,10024,0.0782,25621,0.6904,0.071,0.062,0.527571252,14000,0.659742065,5,10,23069,7983,0.3026,0.3652,210.4513351,20278,38300,10400,24800,54300,70000,0.535660661,0.584855883,0.8652416,11644,0.209228516,0.8765,1505,15223,13965,2175,10746,5394,44200,55500,0.696,2937
Arizona Western College,AZ,1,1,1,1,11492,0,0.6962,15407,0.2189,0.177,0.183,0.117772109,4000,0.628205128,0,5,10000,27,0.4516,0.0188,57.08069548,5500,22100,4100,11900,34000,47300,0.31556196,0.357045144,0.0914116,10598,0.588207547,0.6631,505,2671,215,2137,2310,42,24600,32000,0.356,420
University of Arizona,AZ,1,3,1,15,37278,11040,0.1354,26712,0.6448,0.054,0.06,0.521681997,14014,0.741269493,10,15,27082,4471,0.2896,0.3749,209.3408561,20171,36900,9200,23600,54000,69600,0.610459662,0.656277729,0.838042,14553,0.140057822,0.8124,598,6520,5102,986,4115,1973,45300,56000,0.675,2203
Southwest University of Visual Arts-Tucson,AZ,1,3,3,30,127,5,0.0565,35552,0.8333,0.238,0.196,0.171428571,30750,0.305084746,15,20,33023,29,0.7295,0.6885,446.2672556,43000,25100,4400,14800,35900,44500,0.25390625,0.338289963,0,31109,0.224137931,0.8125,52,210,,,59,11,23100,32600,0.419,12
Central Arizona College,AZ,1,1,1,2,8086,0,0.6598,10680,0.206,0.161,0.21,0.109838626,6625,0.465587045,0,5,,11,0.408,0.0871,95.15870852,9169,24600,4600,13500,38000,49800,0.239073196,0.293554884,0.284227,4903,0.488087134,0.535,310,1427,546,1375,1788,133,24200,31500,0.428,268
Charles of Italy Beauty College,AZ,1,1,3,-2,75,0,0,13737,0.5106,0.118,0.111,0.734693878,7000,,0,5,,,0.52,0.5467,76.6853198,7389,16000,,,,,0.416666667,0.441860465,0.7346939,9699,,0.8936,35,90,36,13,,,22200,22600,0.178,38
Cochise County Community College District,AZ,1,2,1,9,11087,0,0.5687,11589,0.2569,0.085,0.068,0.170385396,5500,0.423728814,0,5,,10,0.367,0.0683,85.50688183,8239,23200,4300,13300,35300,55800,0.345794393,0.41218638,0.2028398,6313,0.278688525,0.6284,242,1059,200,786,923,63,27100,34300,0.381,247
Empire Beauty School-Flagstaff,AZ,0,1,3,-2,62,0,0,19017,0.3846,0.108,0.133,0.549167927,8028,0.359126984,10,15,5856,411,0.5484,0.5484,121.9036089,11746,16300,2500,7700,26100,40800,0.264110756,0.29787234,0.9107413,15792,0.301886792,0.8125,115,345,1204,118,1146,176,17600,22000,0.209,25
Empire Beauty School-Chandler,AZ,0,1,3,-2,114,0,0.3125,19232,0.4706,0.108,0.133,0.549167927,8028,0.359126984,10,15,5856,411,0.6316,0.5439,121.9036089,11746,16300,2500,7700,26100,40800,0.264110756,0.29787234,0.9107413,14914,0.301886792,0.5556,115,345,1204,118,1146,176,17600,22000,0.209,21
Cortiva Institute-Tucson,AZ,1,1,3,-2,161,0,0.4747,23658,0.7917,0.069,,0.784140969,6333,0.443037975,0,10,4446,36,0.8261,0.8571,65.72582627,6333,21400,6800,9800,30200,45100,0.409200969,0.447115385,0.8634361,21716,0.207373272,0.7647,52,168,196,31,183,44,20600,27600,0.298,18
Avalon School of Cosmetology-Mesa,AZ,1,1,3,-2,515,0,0.4691,16901,0.6866,0.129,0.161,0.652573529,6331,0.405904059,0,10,5150,142,0.6117,0.666,77.60898923,7478,18500,2800,8700,28600,40600,0.317521781,0.339370829,0.9375,12674,0.27027027,0.8932,80,261,510,34,447,97,17000,23000,0.272,96
Eastern Arizona College,AZ,1,1,1,6,8682,0,0.5742,12647,0.3549,0,,0.170212766,,,,,,,0.189,0,,,24700,3800,12900,38900,55400,,,0,6985,0.424023155,0.6371,209,676,,,,,27200,35700,0.435,92
Embry-Riddle Aeronautical University-Prescott,AZ,0,3,2,22,2770,70,0.0446,51036,0.6542,0.037,0.042,0.391164141,13625,0.70969697,0,10,50696,1391,0.2517,0.4735,259.4161935,24996,47900,13300,29400,68600,87800,0.590673575,0.644439421,0.6543051,32053,0.302685347,0.8142,190,2947,2029,1072,2294,807,44700,70300,0.77,387
School of Architecture at Taliesin,AZ,1,4,2,30,,30,,0,0,0,0,,,,,,,,NULL,NULL,,,,,,,,,,#DIV/0!,0,,0,,,,,,,,,,0
Glendale Community College,AZ,1,1,1,2,27350,0,0.6284,11843,0.1671,0.139,0.162,0.060172997,4096,,0,5,,,0.3292,0.1072,83.02646615,8000,28600,6500,15800,41100,56800,0.301951387,0.351948052,0.4368184,7079,0.491197183,0.6351,614,3315,2323,2995,4882,436,27200,38300,0.515,989
Grand Canyon University,AZ,1,3,3,17,76300,57448,0.6746,31248,0.368,0.125,0.056,0.372198069,12500,0.602587494,0,5,11000,3108,0.4618,0.5942,218.7020902,21073,28400,10000,15300,47700,90500,0.290824716,0.351982503,0.8799051,21197,0.285721532,0.6369,2978,11512,15584,2127,13437,4274,40900,58500,0.507,1801
GateWay Community College,AZ,1,1,1,8,7660,0,0.7323,12180,0.2082,0.132,0.157,0.160212202,4750,0.364261168,0,5,,,0.322,0.1535,70.05358081,6750,32800,5200,16800,51400,66800,0.266896552,0.320185615,0.5564987,7131,0.340514246,0.5705,348,1628,1049,836,1644,241,29100,39000,0.586,201
Mesa Community College,AZ,1,1,1,2,30010,0,0.6337,12362,0.1645,0.14,0.167,0.058461538,4500,,0,5,6985,50,0.279,0.13,83.02646615,8000,29600,5100,16200,43100,60100,0.283029359,0.339439882,0.5145701,7717,0.477154853,0.6567,890,4487,2843,2682,4832,693,32500,41500,0.538,683
